Local_authority_id,name,ONS_code,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
1,Isles of Scilly,E06000053,1993,36.009,22.37,918298.653,1406916.191
2,Nottinghamshire,E10000024,1993,4650.688,2889.8,2702630807,3368851154
3,Glasgow City,S12000049,1993,1768.535,1098.92,1381192597,1662587023
4,North Lanarkshire,S12000050,1993,1606.709,998.36,1253506528,1547550147
5,Somerset,E10000027,1993,6630.332,4119.9,2410250771,2958158014
6,Newport,W06000022,1993,708.922,440.5,712267110.8,883191874
7,Bridgend,W06000013,1993,731.795,454.72,504212276.1,599136119.2
8,Swansea,W06000011,1993,1139.553,708.09,711921711.8,838680340.2
9,Isle of Anglesey,W06000001,1993,1154.031,717.08,217372335.7,264661015
10,Gwynedd,W06000002,1993,2405.755,1494.87,524488935.4,639669160.6
11,Conwy,W06000003,1993,1590.364,988.21,457711689.9,554204851
12,Denbighshire,W06000004,1993,1391.385,864.57,353683675.7,431344662.2
13,Monmouthshire,W06000021,1993,1572.267,976.96,504373891.8,646703172.1
14,Powys,W06000023,1993,5111.701,3176.26,568238700.4,740465932.8
15,Carmarthenshire,W06000010,1993,3534.68,2196.35,711144148.6,907029687.8
16,Pembrokeshire,W06000009,1993,2537.439,1576.69,415273666.9,522721001.8
17,Neath Port Talbot,W06000012,1993,847.907,526.86,480108023.1,593386379.7
18,The Vale of Glamorgan,W06000014,1993,888.311,551.97,473283176.2,554285543.9
19,Cardiff,W06000015,1993,1030.444,640.29,1305144462,1524500208
20,Flintshire,W06000005,1993,1228.844,763.57,701913228,853808686.8
21,Merthyr Tydfil,W06000024,1993,324.481,201.62,157962670.1,189909396.8
22,"Rhondda, Cynon, Taff",W06000016,1993,1128.724,701.36,871345785.3,1037427801
23,Ceredigion,W06000008,1993,2223.87,1381.85,291316345.5,372203486.3
24,Blaenau Gwent,W06000019,1993,389.625,242.1,170663504.9,204068291.3
25,Torfaen,W06000020,1993,460.138,285.92,262336001.3,307699254.4
26,Wrexham,W06000006,1993,1171.74,728.09,389669754.7,477319418.3
27,West Lothian,S12000040,1993,1073.343,666.94,657096888.5,803428979.6
28,Renfrewshire,S12000038,1993,900.785,559.72,611245045,729183146.6
29,City of Edinburgh,S12000036,1993,1434.16,891.15,1295122692,1538333704
30,Falkirk,S12000014,1993,888.543,552.12,562919762.3,692217735.5
31,Perth & Kinross,S12000048,1993,2975.149,1848.67,923469746.7,1155676264
32,Fife,S12000047,1993,2701.653,1678.73,1163116280,1408511832
33,Scottish Borders,S12000026,1993,3183.927,1978.4,475950905.4,600939743
34,East Lothian,S12000010,1993,1040.065,646.27,328962894.2,405937146.3
35,Highland,S12000017,1993,8149.405,5063.81,1015780119,1265172769
36,Midlothian,S12000019,1993,620.042,385.28,268475735.5,323364953.2
37,South Lanarkshire,S12000029,1993,2442.18,1517.5,878979889.5,1133749935
38,Dumfries & Galloway,S12000006,1993,4683.629,2910.27,718614001.6,970005265.5
39,East Ayrshire,S12000008,1993,1296.351,805.52,385168296.4,484088115
40,South Ayrshire,S12000028,1993,1317.557,818.69,394237322,480017327.9
41,North Ayrshire,S12000021,1993,1127.606,700.66,329575835.4,394069425.7
42,Stirling,S12000030,1993,1183.716,735.53,481389146.8,586300920.5
43,West Dunbartonshire,S12000039,1993,404.655,251.44,276282949.2,323731912.8
44,Argyll & Bute,S12000035,1993,2807.121,1744.26,366975618.8,446844747.8
45,Aberdeenshire,S12000034,1993,6576.582,4086.5,1111368930,1389909857
46,Moray,S12000020,1993,1842.199,1144.69,282025737,355076172.7
47,Dundee City,S12000042,1993,548.888,341.06,403051097.4,472803256.7
48,Inverclyde,S12000018,1993,401.049,249.2,245452855.6,287433162.8
49,East Dunbartonshire,S12000045,1993,500.946,311.27,250482339.3,292790586.6
50,Clackmannanshire,S12000005,1993,284.394,176.71,125373202.9,150932363.3
51,Aberdeen City,S12000033,1993,975.998,606.46,610827568,720493540.7
52,Angus,S12000041,1993,2008.754,1248.18,409406580.1,511693278.3
53,Comhairle nan Eilean Siar,S12000013,1993,1233.671,766.57,75792931.2,96949066.96
